years,window_start,actual_start,actual_end,allocation,weekly_budget,contributed,final_value,profit,roi,worst_interim_loss,terminal_tqqq_market_weight,maximum_tqqq_market_weight
5,1999-12-01,1999-12-01,2004-12-01,100_QQQ,100.0,26200.0,27412.466402014215,1212.4664020142154,0.0462773435883288,-0.5602985521649158,0.0,0.0
5,1999-12-01,1999-12-01,2004-12-01,100_QLD,100.0,26200.0,26892.174991790875,692.1749917908746,0.026418892816445494,-0.8265800834189556,0.0,0.0
5,1999-12-01,1999-12-01,2004-12-01,100_TQQQ,100.0,26200.0,27538.519848575,1338.5198485750007,0.05108854383874051,-0.924306355303522,1.0,1.0
5,1999-12-01,1999-12-01,2004-12-01,50_TQQQ_only,50.0,13100.0,13769.2599242875,669.2599242875003,0.05108854383874051,-0.924306355303522,1.0,1.0
5,1999-12-01,1999-12-01,2004-12-01,50_TQQQ_50_QQQ,100.0,26200.0,27475.493125294608,1275.493125294608,0.048682943713534765,-0.74022011422419,0.5011469625493704,0.5918558868804068
5,1999-12-01,1999-12-01,2004-12-01,50_50_monthly_rebalance,100.0,26200.0,26449.211975736802,249.21197573680183,0.009511907470870273,-0.8168021244533309,0.4999999999999943,0.601123698890347
5,1999-12-01,1999-12-01,2004-12-01,50_TQQQ_50_cash,100.0,26200.0,26869.2599242875,669.2599242875003,0.025544271919370143,-0.462153177651761,0.5124540074079701,0.6451157033242635
5,1999-12-01,1999-12-01,2004-12-01,30_TQQQ_70_cash,100.0,26200.0,26601.555954572497,401.5559545724973,0.015326563151621952,-0.2772919065910566,0.31056664387153765,0.4379071898740134
5,2000-01-01,2000-01-03,2004-12-31,100_QQQ,100.0,26100.0,27813.580738492503,1713.5807384925029,0.06565443442500007,-0.5541669983783443,0.0,0.0
5,2000-01-01,2000-01-03,2004-12-31,100_QLD,100.0,26100.0,27641.021977591645,1541.0219775916448,0.059042987647189404,-0.8211017722970788,0.0,0.0
5,2000-01-01,2000-01-03,2004-12-31,100_TQQQ,100.0,26100.0,28473.29637080278,2373.2963708027783,0.09093089543305655,-0.9197480538011822,1.0,1.0
5,2000-01-01,2000-01-03,2004-12-31,50_TQQQ_only,50.0,13050.0,14236.64818540139,1186.6481854013891,0.09093089543305655,-0.9197480538011822,1.0,1.0
5,2000-01-01,2000-01-03,2004-12-31,50_TQQQ_50_QQQ,100.0,26100.0,28143.43855464764,2043.4385546476406,0.07829266492902831,-0.7369575260897632,0.5058602969838712,0.5684374149611213
5,2000-01-01,2000-01-03,2004-12-31,50_50_monthly_rebalance,100.0,26100.0,27185.93730559745,1085.9373055974502,0.04160679331791006,-0.8110745260074768,0.5025446069708615,0.6010339025088881
5,2000-01-01,2000-01-03,2004-12-31,50_TQQQ_50_cash,100.0,26100.0,27286.64818540139,1186.648185401391,0.045465447716528384,-0.4598740269005911,0.5217441178069693,0.6084742611318983
5,2000-01-01,2000-01-03,2004-12-31,30_TQQQ_70_cash,100.0,26100.0,26811.988911240835,711.9889112408346,0.02727926862991703,-0.2759244161403547,0.3185884098161637,0.39977696543350005
5,2000-02-01,2000-02-01,2005-02-01,100_QQQ,100.0,26200.0,26466.849341642705,266.84934164270453,0.010185089375675638,-0.5492675820184199,0.0,0.0
5,2000-02-01,2000-02-01,2005-02-01,100_QLD,100.0,26200.0,24742.010091182343,-1457.9899088176571,-0.05564846980220062,-0.8147739097278877,0.0,0.0
5,2000-02-01,2000-02-01,2005-02-01,100_TQQQ,100.0,26200.0,23808.762304778193,-2391.2376952218074,-0.09126861432144306,-0.9153048477472563,1.0,1.0
5,2000-02-01,2000-02-01,2005-02-01,50_TQQQ_only,50.0,13100.0,11904.381152389096,-1195.6188476109037,-0.09126861432144306,-0.9153048477472563,1.0,1.0
5,2000-02-01,2000-02-01,2005-02-01,50_TQQQ_50_QQQ,100.0,26200.0,25137.80582321045,-1062.1941767895514,-0.04054176247288366,-0.732286214882838,0.47356484635574053,0.558829036289899
5,2000-02-01,2000-02-01,2005-02-01,50_50_monthly_rebalance,100.0,26200.0,24357.53196368162,-1842.4680363183797,-0.07032320749306797,-0.804409839536373,0.4999999999999961,0.6009753819341225
5,2000-02-01,2000-02-01,2005-02-01,50_TQQQ_50_cash,100.0,26200.0,25004.381152389098,-1195.6188476109019,-0.04563430716072148,-0.45765242387362814,0.47609181286422947,0.5908063713494095
5,2000-02-01,2000-02-01,2005-02-01,30_TQQQ_70_cash,100.0,26200.0,25482.628691433456,-717.371308566544,-0.027380584296432975,-0.27459145432417686,0.28029403002032555,0.38225260004911554
5,2000-03-01,2000-03-01,2005-03-01,100_QQQ,100.0,26200.0,26791.91155972338,591.9115597233795,0.0225920442642511,-0.5425946150317451,0.0,0.0
5,2000-03-01,2000-03-01,2005-03-01,100_QLD,100.0,26200.0,25159.584160701026,-1040.4158392989739,-0.03971052821751808,-0.8072145999851934,0.0,0.0
5,2000-03-01,2000-03-01,2005-03-01,100_TQQQ,100.0,26200.0,24175.05652650115,-2024.94347349885,-0.07728791883583397,-0.9101931807562758,1.0,1.0
5,2000-03-01,2000-03-01,2005-03-01,50_TQQQ_only,50.0,13100.0,12087.528263250575,-1012.471736749425,-0.07728791883583397,-0.9101931807562758,1.0,1.0
5,2000-03-01,2000-03-01,2005-03-01,50_TQQQ_50_QQQ,100.0,26200.0,25483.484043112265,-716.5159568877352,-0.027347937285791435,-0.7263938978940103,0.4743279310945561,0.5275180499869068
5,2000-03-01,2000-03-01,2005-03-01,50_50_monthly_rebalance,100.0,26200.0,24757.318194695028,-1442.681805304972,-0.055064191042174526,-0.796465750341325,0.49999999999999367,0.6009194411344596
5,2000-03-01,2000-03-01,2005-03-01,50_TQQQ_50_cash,100.0,26200.0,25187.528263250577,-1012.4717367494231,-0.03864395941791687,-0.4550965903781379,0.47990132802696134,0.5454857810674149
5,2000-03-01,2000-03-01,2005-03-01,30_TQQQ_70_cash,100.0,26200.0,25592.516957950345,-607.4830420496546,-0.023186375650750213,-0.27305795422688284,0.28338427868843674,0.3396508977395963
5,2000-04-01,2000-04-03,2005-04-01,100_QQQ,100.0,26100.0,25999.288260042238,-100.71173995776189,-0.003858687354703516,-0.5290885378644532,0.0,0.0
5,2000-04-01,2000-04-03,2005-04-01,100_QLD,100.0,26100.0,23537.022883377016,-2562.977116622984,-0.09819835695873502,-0.7945860993697452,0.0,0.0
5,2000-04-01,2000-04-03,2005-04-01,100_TQQQ,100.0,26100.0,21672.077434595318,-4427.922565404682,-0.16965220557106064,-0.9024255827055258,1.0,1.0
5,2000-04-01,2000-04-03,2005-04-01,50_TQQQ_only,50.0,13050.0,10836.038717297659,-2213.961282702341,-0.16965220557106064,-0.9024255827055258,1.0,1.0
5,2000-04-01,2000-04-03,2005-04-01,50_TQQQ_50_QQQ,100.0,26100.0,23835.682847318778,-2264.317152681222,-0.08675544646288202,-0.7155090482631543,0.454614150838837,0.5233675974067753
5,2000-04-01,2000-04-03,2005-04-01,50_50_monthly_rebalance,100.0,26100.0,23176.742859197006,-2923.2571408029944,-0.1120021893027967,-0.7832026069989827,0.49999999999999994,0.600863744392962
5,2000-04-01,2000-04-03,2005-04-01,50_TQQQ_50_cash,100.0,26100.0,23886.03871729766,-2213.961282702341,-0.08482610278553027,-0.4512127913527628,0.453655746168178,0.5404844060046611
5,2000-04-01,2000-04-03,2005-04-01,30_TQQQ_70_cash,100.0,26100.0,24771.623230378595,-1328.3767696214054,-0.050895661671318204,-0.2707276748116578,0.26246254312496375,0.3351451659787844
5,2000-05-01,2000-05-01,2005-04-29,100_QQQ,100.0,26100.0,25379.008971210318,-720.9910287896819,-0.027624177348263723,-0.5209863756750537,0.0,0.0
5,2000-05-01,2000-05-01,2005-04-29,100_QLD,100.0,26100.0,22233.78405914944,-3866.2159408505613,-0.1481308789597916,-0.785043682946703,0.0,0.0
5,2000-05-01,2000-05-01,2005-04-29,100_TQQQ,100.0,26100.0,19675.7907392166,-6424.209260783398,-0.24613828585377007,-0.895683918667722,1.0,1.0
5,2000-05-01,2000-05-01,2005-04-29,50_TQQQ_only,50.0,13050.0,9837.8953696083,-3212.104630391699,-0.24613828585377007,-0.895683918667722,1.0,1.0
5,2000-05-01,2000-05-01,2005-04-29,50_TQQQ_50_QQQ,100.0,26100.0,22527.399855213458,-3572.600144786542,-0.13688123160101695,-0.707929012581431,0.43670798373703756,0.5317041530043023
5,2000-05-01,2000-05-01,2005-04-29,50_50_monthly_rebalance,100.0,26100.0,21887.803556932064,-4212.196443067936,-0.16138683689915467,-0.7746941971024843,0.4796325405058281,0.600794706293719
5,2000-05-01,2000-05-01,2005-04-29,50_TQQQ_50_cash,100.0,26100.0,22887.8953696083,-3212.104630391699,-0.12306914292688498,-0.44784195933386106,0.42982962001266195,0.556247965351177
5,2000-05-01,2000-05-01,2005-04-29,30_TQQQ_70_cash,100.0,26100.0,24172.73722176498,-1927.262778235021,-0.07384148575613103,-0.2687051756003166,0.2441898560188787,0.3494745658264869
5,2000-06-01,2000-06-01,2005-06-01,100_QQQ,100.0,26200.0,28217.946688852713,2017.9466888527131,0.07702086598674485,-0.5128259364893836,0.0,0.0
5,2000-06-01,2000-06-01,2005-06-01,100_QLD,100.0,26200.0,27205.063010829228,1005.063010829228,0.03836118361943619,-0.775186389902198,0.0,0.0
5,2000-06-01,2000-06-01,2005-06-01,100_TQQQ,100.0,26200.0,26369.169301500096,169.16930150009648,0.006456843568706017,-0.8881979994713157,1.0,1.0
5,2000-06-01,2000-06-01,2005-06-01,50_TQQQ_only,50.0,13100.0,13184.584650750048,84.58465075004824,0.006456843568706017,-0.8881979994713157,1.0,1.0
5,2000-06-01,2000-06-01,2005-06-01,50_TQQQ_50_QQQ,100.0,26200.0,27293.557995176405,1093.5579951764048,0.04173885477772532,-0.7002630767071223,0.48306580816909844,0.5312776679422303
5,2000-06-01,2000-06-01,2005-06-01,50_50_monthly_rebalance,100.0,26200.0,26878.034365179716,678.0343651797157,0.025879174243500502,-0.7679571037594026,0.49999999999999745,0.6007112629655779
5,2000-06-01,2000-06-01,2005-06-01,50_TQQQ_50_cash,100.0,26200.0,26284.584650750046,84.58465075004642,0.0032284217843530083,-0.4440989997356578,0.5016090163088736,0.5486826301529647
5,2000-06-01,2000-06-01,2005-06-01,30_TQQQ_70_cash,100.0,26200.0,26250.75079045003,50.75079045003076,0.0019370530706117606,-0.2664593998413948,0.30135331570508617,0.3425505889980777
5,2000-07-01,2000-07-03,2005-07-01,100_QQQ,100.0,26100.0,27157.63376126883,1057.6337612688294,0.040522366332139015,-0.5011356925135096,0.0,0.0
5,2000-07-01,2000-07-03,2005-07-01,100_QLD,100.0,26100.0,25085.762794806975,-1014.2372051930251,-0.03885966303421551,-0.760850852968374,0.0,0.0
5,2000-07-01,2000-07-03,2005-07-01,100_TQQQ,100.0,26100.0,23168.943884443735,-2931.0561155562646,-0.11230100059602544,-0.8765745551728948,1.0,1.0
5,2000-07-01,2000-07-03,2005-07-01,50_TQQQ_only,50.0,13050.0,11584.471942221868,-1465.5280577781323,-0.11230100059602544,-0.8765745551728948,1.0,1.0
5,2000-07-01,2000-07-03,2005-07-01,50_TQQQ_50_QQQ,100.0,26100.0,25163.28882285628,-936.7111771437194,-0.03588931713194332,-0.6886806214023717,0.46037193404144683,0.5284493970825763
5,2000-07-01,2000-07-03,2005-07-01,50_50_monthly_rebalance,100.0,26100.0,24810.29774973112,-1289.7022502688815,-0.04941387932064678,-0.7587559970883787,0.4999999999999897,0.6006108197637458
5,2000-07-01,2000-07-03,2005-07-01,50_TQQQ_50_cash,100.0,26100.0,24634.47194222187,-1465.5280577781305,-0.05615050029801261,-0.4382872775864475,0.470254526640242,0.5517509831062533
5,2000-07-01,2000-07-03,2005-07-01,30_TQQQ_70_cash,100.0,26100.0,25220.68316533312,-879.316834666879,-0.033690300178807586,-0.2629723665518685,0.27559456338942967,0.34534828027852604
5,2000-08-01,2000-08-01,2005-08-01,100_QQQ,100.0,26200.0,29683.164232861633,3483.1642328616326,0.13294519972754326,-0.49061867184537034,0.0,0.0
5,2000-08-01,2000-08-01,2005-08-01,100_QLD,100.0,26200.0,29628.899773876383,3428.899773876383,0.13087403717085433,-0.7527724004407746,0.0,0.0
5,2000-08-01,2000-08-01,2005-08-01,100_TQQQ,100.0,26200.0,29444.76231910671,3244.7623191067105,0.12384589004224078,-0.871617011937178,1.0,1.0
5,2000-08-01,2000-08-01,2005-08-01,50_TQQQ_only,50.0,13100.0,14722.381159553355,1622.3811595533552,0.12384589004224078,-0.871617011937178,1.0,1.0
5,2000-08-01,2000-08-01,2005-08-01,50_TQQQ_50_QQQ,100.0,26200.0,29563.96327598417,3363.9632759841697,0.1283955448848919,-0.6811178418912742,0.4979840159493384,0.5427424742566256
5,2000-08-01,2000-08-01,2005-08-01,50_50_monthly_rebalance,100.0,26200.0,29373.693646269192,3173.693646269192,0.12113334527745012,-0.7507035774174906,0.4999999999999974,0.6005332362024304
5,2000-08-01,2000-08-01,2005-08-01,50_TQQQ_50_cash,100.0,26200.0,27822.381159553355,1622.3811595533552,0.0619229450211205,-0.435808505968589,0.5291560443775367,0.5651880526580927
5,2000-08-01,2000-08-01,2005-08-01,30_TQQQ_70_cash,100.0,26200.0,27173.428695732015,973.4286957320146,0.037153767012672256,-0.2614851035811534,0.32507597015607503,0.3577707335282677
5,2000-09-01,2000-09-01,2005-09-01,100_QQQ,100.0,26200.0,29320.43917784009,3120.4391778400895,0.11910073197862947,-0.4797935673673597,0.0,0.0
5,2000-09-01,2000-09-01,2005-09-01,100_QLD,100.0,26200.0,28687.06071941976,2487.0607194197582,0.09492598165724275,-0.744204923544218,0.0,0.0
5,2000-09-01,2000-09-01,2005-09-01,100_TQQQ,100.0,26200.0,27822.22823566643,1622.228235666429,0.06191710823154306,-0.8666639071823249,1.0,1.0
5,2000-09-01,2000-09-01,2005-09-01,50_TQQQ_only,50.0,13100.0,13911.114117833215,811.1141178332146,0.06191710823154306,-0.8666639071823249,1.0,1.0
5,2000-09-01,2000-09-01,2005-09-01,50_TQQQ_50_QQQ,100.0,26200.0,28571.33370675326,2371.3337067532593,0.09050892010508615,-0.6732287372748422,0.48689061072935197,0.5262572052631821
5,2000-09-01,2000-09-01,2005-09-01,50_50_monthly_rebalance,100.0,26200.0,28441.554597722097,2241.5545977220972,0.08555551899702651,-0.7421759233000094,0.4999999999999958,0.6004423461299658
5,2000-09-01,2000-09-01,2005-09-01,50_TQQQ_50_cash,100.0,26200.0,27011.114117833215,811.1141178332146,0.03095855411577153,-0.4333319535911625,0.5150144513531506,0.5603275206227117
5,2000-09-01,2000-09-01,2005-09-01,30_TQQQ_70_cash,100.0,26200.0,26686.66847069993,486.66847069992946,0.018575132469462963,-0.2599991721546975,0.31276547238798197,0.3532448196893683
5,2000-10-01,2000-10-02,2005-09-30,100_QQQ,100.0,26100.0,29961.165182188248,3861.165182188248,0.14793736330223162,-0.4647714098974778,0.0,0.0
5,2000-10-01,2000-10-02,2005-09-30,100_QLD,100.0,26100.0,29804.510419830858,3704.510419830858,0.14193526512761911,-0.7324299429519965,0.0,0.0
5,2000-10-01,2000-10-02,2005-09-30,100_TQQQ,100.0,26100.0,29246.76399159189,3146.7639915918917,0.12056567017593456,-0.8598924584927498,1.0,1.0
5,2000-10-01,2000-10-02,2005-09-30,50_TQQQ_only,50.0,13050.0,14623.381995795946,1573.3819957959458,0.12056567017593456,-0.8598924584927498,1.0,1.0
