window_start,symbol,contributed,final_value,profit,xirr,trades,exposure,start,end,profit_on_contributed,twr_cagr,max_drawdown,drawdown_peak,drawdown_trough,drawdown_recovered,sharpe_0rf,volatility,worst_loss_on_contributed,worst_loss_date,worst_loss_deposited,worst_loss_value,lump_sum_return
2012-05-01,QQQ,26200.0,41061.00378176986,14861.003781769861,0.18280692237740104,262.0,1.0,2012-05-01,2017-05-01,0.5672138848003764,0.16867367080459528,-0.1610604614995491,2015-12-01,2016-02-09,2016-07-27,1.120452101400599,0.1493161927480103,-0.06277226400956863,2012-05-18,300.0,281.1683207971294,1.1850906800588028
2012-05-01,QLD,26200.0,60951.349091487136,34751.349091487136,0.350403217225714,262.0,1.0,2012-05-01,2017-05-01,1.3263873699040891,0.3194972581816251,-0.3073787347705801,2015-11-04,2016-02-09,2016-08-05,1.0845199208123812,0.29689712626559217,-0.121631132161145,2012-05-18,300.0,263.5106603516565,3.0083466068789564
2012-05-01,TQQQ,26200.0,89750.06732722954,63550.06732722954,0.5228958276587654,262.0,1.0,2012-05-01,2017-05-01,2.4255750888255547,0.4695081404449315,-0.44538912143912923,2015-07-20,2016-02-09,2016-09-22,1.0902938283626182,0.44512901465695637,-0.17719540877082768,2012-05-18,300.0,246.8413773687517,5.866235691203435
2012-06-01,QQQ,26200.0,41920.55048382869,15720.550483828687,0.1908220916942761,262.0,1.0,2012-06-01,2017-06-01,0.600021010833156,0.19789390459724188,-0.1610609337905421,2015-12-01,2016-02-09,2016-07-27,1.2986781207920017,0.14769615643459957,-0.05172205410702772,2012-11-15,2500.0,2370.6948647324307,1.4721348873399696
2012-06-01,QLD,26200.0,63639.9617226161,37439.9617226161,0.36808562045902204,262.0,1.0,2012-06-01,2017-06-01,1.4290061726189351,0.38668567644821916,-0.3073792592341795,2015-11-04,2016-02-09,2016-08-05,1.2624580086138941,0.2937639882389949,-0.10697619281415609,2012-11-15,2500.0,2232.5595179646098,4.137684552076303
2012-06-01,TQQQ,26200.0,95766.81664070515,69566.81664070515,0.5511030551971239,262.0,1.0,2012-06-01,2017-06-01,2.655222009187219,0.5829726155621946,-0.44538996153089605,2015-07-20,2016-02-09,2016-09-22,1.2667318861985886,0.4403716905978862,-0.15888932288875712,2012-11-15,2500.0,2102.776692778107,8.957668609647497
2012-07-01,QQQ,26100.0,40001.25112954554,13901.25112954554,0.1735428166698515,261.0,1.0,2012-07-02,2017-06-30,0.5326149858063426,0.17849125686229095,-0.16106158596910802,2015-12-01,2016-02-09,2016-07-27,1.1942129984198688,0.1466317271221834,-0.06544251973322798,2012-11-15,2000.0,1869.114960533544,1.276312454992571
2012-07-01,QLD,26100.0,57895.536944298685,31795.536944298685,0.3298872281980533,261.0,1.0,2012-07-02,2017-06-30,1.2182198062949687,0.34193139137098205,-0.3073800242459478,2015-11-04,2016-02-09,2016-08-05,1.1558151261044178,0.29158899365321383,-0.1314824066951678,2012-11-15,2000.0,1737.0351866096644,3.3536147589633973
2012-07-01,TQQQ,26100.0,83077.75960922304,56977.75960922304,0.4897341376652299,261.0,1.0,2012-07-02,2017-06-30,2.1830559237250204,0.5077407569711059,-0.44539126137847174,2015-07-20,2016-02-09,2016-09-22,1.1605996618157441,0.43688737744637807,-0.1922396745365087,2012-11-15,2000.0,1615.5206509269826,6.788930342861115
2012-08-01,QQQ,26200.0,41269.71711086482,15069.717110864818,0.18472057458182578,262.0,1.0,2012-08-01,2017-08-01,0.5751800423994206,0.18454342759201814,-0.16106213019831117,2015-12-01,2016-02-09,2016-07-27,1.236991766184299,0.14575343083131426,-0.07630761244215392,2012-11-15,1600.0,1477.9078200925537,1.3374739265928537
2012-08-01,QLD,26200.0,61496.67498823067,35296.67498823067,0.3539163907347288,262.0,1.0,2012-08-01,2017-08-01,1.3472013354286514,0.35626257669450445,-0.30738066168356615,2015-11-04,2016-02-09,2016-08-05,1.199196977011519,0.2897548129879101,-0.15095288548878671,2012-11-15,1600.0,1358.4753832179413,3.598522777100932
2012-08-01,TQQQ,26200.0,91002.6866587968,64802.686658796796,0.5287229745288398,262.0,1.0,2012-08-01,2017-08-01,2.473384986976977,0.532844351572209,-0.445392347637669,2015-07-20,2016-02-09,2016-09-22,1.2047260202782117,0.4339834609224146,-0.2187139595229273,2012-11-15,1600.0,1250.0576647633163,7.478381489116368
2012-09-01,QQQ,26100.0,41221.6891023505,15121.689102350501,0.18601481913911233,261.0,1.0,2012-09-04,2017-09-01,0.5793750613927395,0.1790185215524367,-0.16106282105132297,2015-12-01,2016-02-09,2016-07-27,1.1996266017482702,0.1462192528961644,-0.07855870301826516,2012-11-15,1100.0,1013.5854266799083,1.280408942486443
2012-09-01,QLD,26100.0,61574.27838543461,35474.27838543461,0.3566149828260151,261.0,1.0,2012-09-04,2017-09-01,1.3591677542312113,0.34288907531629276,-0.30738144504081444,2015-11-04,2016-02-09,2016-08-05,1.1604874828675937,0.2906769684834661,-0.15390347181268113,2012-11-15,1100.0,930.7061810060508,3.3657634541738704
2012-09-01,TQQQ,26100.0,91225.5450712277,65125.545071227694,0.5324830167376915,261.0,1.0,2012-09-04,2017-09-01,2.495231611924433,0.5093165871805709,-0.44539364438798823,2015-07-20,2016-02-09,2016-09-22,1.1651982378936254,0.43533545193525786,-0.2217492472886455,2012-11-15,1100.0,856.07582798249,6.8212166635089835
2012-10-01,QQQ,26100.0,40663.46633198677,14563.466331986769,0.18035174494128092,261.0,1.0,2012-10-01,2017-09-29,0.5579872157849337,0.17487326945931758,-0.1610633917505674,2015-12-01,2016-02-09,2016-07-27,1.1799092816067278,0.14568574068415452,-0.06465080555212743,2012-11-15,700.0,654.7444361135108,1.2416493777444875
2012-10-01,QLD,26100.0,59929.42629793408,33829.42629793408,0.3448410560817353,261.0,1.0,2012-10-01,2017-09-29,1.2961466014534129,0.33339487169950854,-0.3073820799453342,2015-11-04,2016-02-09,2016-08-05,1.1395637345445417,0.2896672453822859,-0.12729262915536133,2012-11-15,700.0,610.8951595912471,3.2171446992179398
2012-10-01,TQQQ,26100.0,87788.19521027435,61688.19521027435,0.5148613971489844,261.0,1.0,2012-10-01,2017-09-29,2.3635323835354156,0.4935711175607864,-0.44539467645896136,2015-07-20,2016-02-09,2016-09-22,1.144278063908016,0.43370177399419596,-0.18425030174183624,2012-11-15,700.0,571.0247887807146,6.430418709591686
2012-11-01,QQQ,26200.0,42077.038648204434,15877.038648204434,0.19256504797553664,262.0,1.0,2012-11-01,2017-11-01,0.6059938415345204,0.19779435765967301,-0.16106401304263296,2015-12-01,2016-02-09,2016-07-27,1.317610086611054,0.1449947564156823,-0.042818519589912396,2012-11-15,300.0,287.1544441230263,1.4711002022438504
2012-11-01,QLD,26200.0,63974.50493186433,37774.50493186433,0.3707397063958854,262.0,1.0,2012-11-01,2017-11-01,1.4417749973994018,0.3864051547409326,-0.30738279889346165,2015-11-04,2016-02-09,2016-08-05,1.2787912642626547,0.28819503459343637,-0.08483092105534468,2012-11-15,300.0,274.5507236833966,4.132454914528343
