scenario,years,window_start,leverage,index_log_growth,index_volatility,index_last_two_year_return,actual_start,actual_end,contributed,final_value,profit,roi,worst_loss_on_deposits,lump_return,max_nav_drawdown
higher_financing,10,2010-09-01,3,0.20255917274592888,0.19438041484970056,0.6464198755368205,2010-09-01,2020-09-01,52300.0,866445.404435534,814145.404435534,15.566833736817095,-0.2827055887603406,79.82147344292483,-0.6992954440615236
higher_financing,10,2010-10-01,1,0.18740342729406734,0.19665471406821936,0.5468650979764127,2010-10-01,2020-10-01,52300.0,161054.85088763398,108754.85088763398,2.079442655595296,-0.09187543718149249,5.384196046670741,-0.2798076143902245
higher_financing,10,2010-10-01,2,0.18740342729406734,0.19665471406821936,0.5468650979764127,2010-10-01,2020-10-01,52300.0,363365.11886992253,311065.11886992253,5.947707817780546,-0.20247510989432616,20.03573797764687,-0.5165595429712524
higher_financing,10,2010-10-01,3,0.18740342729406734,0.19665471406821936,0.5468650979764127,2010-10-01,2020-10-01,52300.0,677214.0176065159,624914.0176065159,11.948642784063402,-0.3147454607487927,48.86147702545632,-0.6992954440615236
higher_financing,10,2010-11-01,1,0.17641956753717936,0.19790458864300348,0.6568411485612176,2010-11-01,2020-10-30,52200.0,151094.998478081,98894.99847808099,1.8945402007295207,-0.10329653607127787,4.714542131057996,-0.2798076143902245
higher_financing,10,2010-11-01,2,0.17641956753717936,0.19790458864300348,0.6568411485612176,2010-11-01,2020-10-30,52200.0,319381.6210965984,267181.6210965984,5.118421860088092,-0.2213967409354748,15.774518026950314,-0.5165595429712524
higher_financing,10,2010-11-01,3,0.17641956753717936,0.19790458864300348,0.6568411485612176,2010-11-01,2020-10-30,52200.0,555448.250630535,503248.25063053495,9.640771084876148,-0.33850985556178015,34.238745963906574,-0.6992954440615236
higher_financing,10,2010-12-01,1,0.18656374581002036,0.19847493635410668,0.799085787442491,2010-12-01,2020-12-01,52300.0,168374.62046195884,116074.62046195884,2.219400008832865,-0.10945229506586052,5.330805533115641,-0.2798076143902245
higher_financing,10,2010-12-01,2,0.18656374581002036,0.19847493635410668,0.799085787442491,2010-12-01,2020-12-01,52300.0,395703.2230642637,343403.2230642637,6.566027209641754,-0.23080281015185222,19.541269186894908,-0.5165595429712524
higher_financing,10,2010-12-01,3,0.18656374581002036,0.19847493635410668,0.799085787442491,2010-12-01,2020-12-01,52300.0,764070.6342934669,711770.6342934669,13.609381152838756,-0.3495311544489198,46.60151428229893,-0.6992954440615236
higher_financing,10,2011-01-01,1,0.1860150115106184,0.19860647938299392,1.0762016929424,2011-01-03,2020-12-31,52200.0,171477.1567666224,119277.15676662239,2.2850030031919997,-0.11529349159237312,5.286647299943274,-0.2798076143902245
higher_financing,10,2011-01-01,2,0.1860150115106184,0.19860647938299392,1.0762016929424,2011-01-03,2020-12-31,52200.0,412650.0446893151,360450.0446893151,6.90517326991025,-0.23922856412343596,19.25324037710476,-0.5165595429712524
higher_financing,10,2011-01-01,3,0.1860150115106184,0.19860647938299392,1.0762016929424,2011-01-03,2020-12-31,52200.0,818029.0657875391,765829.0657875391,14.671054900144428,-0.3589344795553139,45.579140755893754,-0.6992954440615236
