scenario,start_label,years,leverage,actual_start,actual_end,contributed,final_value,profit,roi,worst_loss_on_deposits,lump_return,max_nav_drawdown
higher_financing,2000_year_start,5,3,2000-01-03,2005-01-03,26200.0,26717.249156536283,517.2491565362834,0.019742334218942226,-0.920100073841229,-0.9969113159979277,-0.9995725340680488
higher_financing,2000_year_start,10,1,2000-01-03,2009-12-31,52200.0,62454.096641998854,10254.096641998854,0.19643863298848374,-0.5541669983783443,-0.5031749774085513,-0.8295973605477929
higher_financing,2000_year_start,10,2,2000-01-03,2009-12-31,52200.0,46917.86871906487,-5282.131280935129,-0.10119025442404461,-0.821786271461145,-0.9566367569730714,-0.9899234367787402
higher_financing,2000_year_start,10,3,2000-01-03,2009-12-31,52200.0,32413.27155478121,-19786.72844521879,-0.37905610048311855,-0.920100073841229,-0.9988375794227636,-0.9998476872682589
higher_financing,2000_peak,5,1,2000-03-27,2005-03-24,26100.0,25942.178274978178,-157.8217250218222,-0.0060468093878093265,-0.5319383410083012,-0.6883493865830008,-0.8295973605477929
higher_financing,2000_peak,5,2,2000-03-27,2005-03-24,26100.0,23033.354730199666,-3066.645269800334,-0.11749598734867184,-0.7980639280099305,-0.9675755654983837,-0.9878383534220097
higher_financing,2000_peak,5,3,2000-03-27,2005-03-24,26100.0,20892.413603090423,-5207.586396909577,-0.1995243830233554,-0.9044927652362527,-0.9985322606575748,-0.9995725340680488
higher_financing,2000_peak,10,1,2000-03-27,2010-03-26,52200.0,66296.15512120008,14096.155121200078,0.2700412858467447,-0.5319383410083012,-0.5792075638103373,-0.8295973605477929
higher_financing,2000_peak,10,2,2000-03-27,2010-03-26,52200.0,52500.15238865556,300.15238865555875,0.005750045759685074,-0.7980639280099305,-0.9669570734800059,-0.9899234367787402
higher_financing,2000_peak,10,3,2000-03-27,2010-03-26,52200.0,37989.59842235663,-14210.401577643373,-0.2722299152805244,-0.9044927652362527,-0.9991637675812075,-0.9998476872682589
higher_financing,2002_trough,5,1,2002-10-07,2007-10-05,26100.0,38497.77631796305,12397.77631796305,0.475010586895136,-0.050924382124655776,1.6900546704448551,-0.17334356258897643
higher_financing,2002_trough,5,2,2002-10-07,2007-10-05,26100.0,45841.01981775507,19741.01981775507,0.7563609125576656,-0.11777317374918705,3.6000508881359874,-0.3502547269797126
higher_financing,2002_trough,5,3,2002-10-07,2007-10-05,26100.0,51868.658004125435,25768.658004125435,0.9873049043726221,-0.19200207126330882,5.678228959076198,-0.49487724825370594
higher_financing,2002_trough,10,1,2002-10-07,2012-10-05,52200.0,91588.7122961928,39388.712296192796,0.7545730324941149,-0.3109958036911169,2.624859212882496,-0.5351866489465811
higher_financing,2002_trough,10,2,2002-10-07,2012-10-05,52200.0,101470.01825121466,49270.01825121466,0.9438700814408938,-0.6749834062716483,3.979336943345216,-0.832744891548108
